cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2019,unidad_medida
12,Guerrero,0,Estatal,1009000051,Monto pagado por el PROCAMPO,156543,190058,212626,247335,254502,284006,304201,323196,341081,377554,445400,448402,463994,452713,466712,472134,462689,451772,453454,391489,407063,375359,395368,339383,,Miles de pesos
13,Hidalgo,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,175930,166736,168750,159417,175325,148492,133171,146385,152281,151895,148304,148212,149365,148155,145178,136735,131617,130453,122389,97494,108351,87393,86673,70894,,
13,Hidalgo,0,Estatal,1009000051,Monto pagado por el PROCAMPO,126413,166424,186584,213153,234469,261854,282884,308014,324571,359888,360734,393768,406818,399525,386692,387564,381442,378325,373200,337685,335420,318610,295188,219454,,Miles de pesos
14,Jalisco,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,0,0,0,0,0,125028,101860,108902,108858,109579,110973,91123,100506,110317,114270,96095,105830,102643,104358,98142,95394,81520,83506,82160,,
14,Jalisco,0,Estatal,1009000051,Monto pagado por el PROCAMPO,0,0,0,0,0,649207,698054,746530,794819,0,946084,921358,948976,992338,985579,1011165,991419,966337,960828,902332,852985,796221,680495,432212,,Miles de pesos
15,México,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,182039,189950,195155,189431,198400,195224,0,188092,0,182562,180799,183017,178288,178226,175484,171836,167867,152624,147531,131605,123495,129871,127993,123800,,
15,México,0,Estatal,1009000051,Monto pagado por el PROCAMPO,169206,215975,240599,271631,295013,329139,0,355921,0,459174,487662,505576,506203,501687,491062,505700,489295,459817,447373,390375,380100,359794,341146,318245,,Miles de pesos
16,Michoacan,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,254178,172913,151606,0,155661,0,0,188837,172908,181287,173662,132303,243039,145806,145541,140057,143951,143128,133538,122785,118651,95737,98563,89534,,
16,Michoacan,0,Estatal,1009000051,Monto pagado por el PROCAMPO,241984,262723,248864,0,382645,0,0,585845,611675,691441,665444,584220,725057,742809,740501,749582,759346,755263,724319,677512,634047,577621,521439,383269,,Miles de pesos
17,Morelos,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,25970,0,38584,37667,22988,22320,21757,23822,26269,22161,21889,33696,21102,21041,21040,21181,21559,21336,20457,17926,16401,18147,18034,15150,,
17,Morelos,0,Estatal,1009000051,Monto pagado por el PROCAMPO,27085,0,38078,42957,45989,51840,56128,61459,63578,70903,72347,74260,77463,76402,76257,80350,79254,78220,77794,66860,61052,56291,52391,45419,,Miles de pesos
18,Nayarit,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,0,39878,45218,43672,42678,42037,0,0,42447,42357,40768,41766,41334,41471,41249,41018,39861,41722,38954,36403,36527,32571,31400,30638,,
18,Nayarit,0,Estatal,1009000051,Monto pagado por el PROCAMPO,0,73975,88448,101995,113855,127799,0,0,168450,184090,200360,213682,216595,215623,214814,220346,218046,212294,207759,200742,202720,202114,170802,125560,,Miles de pesos
19,Nuevo León,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,0,4798,16687,28904,22061,0,21463,22643,22671,24372,24558,26210,26059,24703,35437,22467,38345,22836,21794,20674,20887,18290,18395,18170,,
19,Nuevo León,0,Estatal,1009000051,Monto pagado por el PROCAMPO,0,19659,51365,99983,105119,0,133853,154203,165522,189086,204468,215549,211478,217253,206800,208832,210221,205910,191854,183448,184161,166432,140631,83250,,Miles de pesos
20,Oaxaca,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,436792,377898,381622,280758,286216,283963,295262,291051,264139,258134,275061,270881,270168,269891,248716,244481,239773,241564,246210,199848,210218,180945,178576,171997,,
20,Oaxaca,0,Estatal,1009000051,Monto pagado por el PROCAMPO,231241,228731,258478,292567,323757,365255,403409,447912,462633,534456,645846,662557,671797,721653,695429,684198,677451,677804,655031,586076,611157,629159,614389,539774,,Miles de pesos
21,Puebla,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,259736,276134,189240,197422,176816,191502,188488,185785,180989,179634,183007,182109,181564,180802,178982,175059,177810,158152,163019,139020,135347,113805,120305,113638,,
21,Puebla,0,Estatal,1009000051,Monto pagado por el PROCAMPO,164533,276197,243567,341295,278540,411274,446730,479965,502399,558993,601850,646106,619943,618264,613381,650997,642538,638432,625353,530222,510619,453774,457904,401904,,Miles de pesos
22,Querétaro,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,0,0,43926,43556,41396,0,47866,38719,0,36096,39395,29868,35000,34824,30286,30229,30102,31506,29748,27792,26471,24062,22314,20474,,
22,Querétaro,0,Estatal,1009000051,Monto pagado por el PROCAMPO,0,0,71408,79052,84372,0,99067,108937,0,121974,136894,127253,130653,132388,129935,138632,137183,131350,125822,117820,111675,107074,88515,71697,,Miles de pesos
23,Quintana Roo,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,28693,0,31045,30552,29766,29504,29112,28738,28464,26599,24371,21477,21643,27754,28809,30584,27985,27982,27092,23401,25612,26142,25892,20813,,
23,Quintana Roo,0,Estatal,1009000051,Monto pagado por el PROCAMPO,23501,0,39735,45838,51278,56648,62564,67298,67628,82009,70609,61700,63774,99836,87768,98662,101761,101761,101762,98047,99954,104326,99150,78346,,Miles de pesos
24,San Luis Potosí,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,80435,83447,97281,77357,100659,99978,99582,100421,105405,107242,104738,100870,100870,103342,101681,102015,100251,92558,87588,80094,79093,67816,66529,62518,,
24,San Luis Potosí,0,Estatal,1009000051,Monto pagado por el PROCAMPO,0,188146,209710,197029,257308,280245,303263,362832,392791,447012,453407,489048,500282,503940,498725,529483,524548,509012,489503,458307,433819,413937,358875,265830,,Miles de pesos
25,Sinaloa,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,135445,0,81800,79764,144088,88272,85602,87378,89844,82496,81685,67162,65853,86239,82991,79441,79073,78658,77741,77523,70899,63967,63875,55972,,
25,Sinaloa,0,Estatal,1009000051,Monto pagado por el PROCAMPO,333729,0,449606,552620,618351,728788,736838,839441,906595,900907,964860,975177,931359,1048117,1017831,1047103,1009727,1072141,934730,930575,930359,910333,696173,301278,,Miles de pesos
26,Sonora,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,48844,40431,0,41275,44481,41570,42996,40787,45682,46310,38297,46657,47490,48013,50003,48475,22779,22779,20464,18884,15463,12992,14202,11927,,
26,Sonora,0,Estatal,1009000051,Monto pagado por el PROCAMPO,197382,199060,0,224260,255512,260591,297669,319698,361991,388647,327594,427038,455116,453967,484028,454073,479423,479423,433843,403695,381459,354568,264280,64636,,Miles de pesos
27,Tabasco,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,59030,51850,48748,46565,46351,47515,43394,42753,43221,40763,34154,20513,37958,43439,37570,21817,41580,27498,35300,22233,30800,19159,18988,30200,,
27,Tabasco,0,Estatal,1009000051,Monto pagado por el PROCAMPO,35936,39790,43149,48624,54074,60412,66566,71267,75245,77336,66478,35318,86305,88136,88434,47149,86577,86391,85181,76628,89282,89630,86457,59135,,Miles de pesos
28,Tamaulipas,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,76075,71433,73281,59731,78387,78406,76429,68665,0,75002,71870,72683,0,62263,65731,66918,67174,65063,63058,60924,58911,49368,49905,48135,,
28,Tamaulipas,0,Estatal,1009000051,Monto pagado por el PROCAMPO,447344,515515,613036,637604,794524,888840,1005387,1125262,1164696,1291662,1317522,1356208,1313444,1320238,1308645,1360911,1345126,1331720,1297981,1300819,1298992,1190241,925964,365680,,Miles de pesos
29,Tlaxcala,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,84110,55855,56872,47297,44426,48267,47267,47236,45693,0,0,41357,37149,38170,37636,40648,41101,39936,39429,36612,35269,33388,33333,32678,,
29,Tlaxcala,0,Estatal,1009000051,Monto pagado por el PROCAMPO,66326,89384,96108,108609,122339,135815,147260,158434,160655,0,193872,189910,191722,177184,171694,210875,210641,190319,203656,188357,172582,164818,150760,131224,,Miles de pesos
30,Veracruz,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,284985,224154,241135,239781,229354,220279,215803,213618,188642,209798,211470,201406,220972,221079,205121,214002,210134,206720,203805,148592,173805,125582,123395,119877,,
30,Veracruz,0,Estatal,1009000051,Monto pagado por el PROCAMPO,245398,222920,274370,334357,346887,395737,440548,482739,408289,575183,648787,580071,640332,671231,662422,662464,678107,675080,670471,606167,638951,630550,597601,377051,,Miles de pesos
31,Yucatán,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,62599,0,61224,60801,58282,57467,0,56809,54754,54515,55792,57307,59046,59495,57441,49147,48578,43873,44052,42444,42213,41358,40612,38175,,
31,Yucatán,0,Estatal,1009000051,Monto pagado por el PROCAMPO,43152,0,60416,67718,76249,84470,0,0,105700,121710,133666,135975,138151,139252,135092,132236,131132,130162,128223,125700,125327,128730,130171,115357,,Miles de pesos
32,Zacatecas,0,Estatal,1009000050,Productores beneficiados por el PROCAMPO,109732,111598,100989,98267,103043,101666,101076,98889,95890,96341,99528,93888,94423,93883,93995,94932,93125,93445,101787,102999,91864,83613,86974,84336,,
32,Zacatecas,0,Estatal,1009000051,Monto pagado por el PROCAMPO,366365,475879,507749,591693,669524,751857,828687,858936,936137,1036159,1092925,1118679,1130901,1124886,1124951,1138320,1091655,1084546,1073921,1027529,969060,898459,754100,536456,,Miles de pesos
